,title,department,location,date_added,link
0,Tools Developer,Software and Services,Santa Clara Valley (Cupertino),"Aug 16, 2021",https://jobs.apple.com/en-us/details/200275990/tools-developer?team=SFTWR
1,NX Developer,Software and Services,Santa Clara Valley (Cupertino),"Oct 22, 2021",https://jobs.apple.com/en-us/details/200303726/nx-developer?team=SFTWR
2,Front-End Developer,Software and Services,Santa Clara Valley (Cupertino),"Sep 27, 2021",https://jobs.apple.com/en-us/details/200290894/front-end-developer?team=SFTWR
3,Teamcenter Workspace Developer,Software and Services,Santa Clara Valley (Cupertino),"Oct 22, 2021",https://jobs.apple.com/en-us/details/200303730/teamcenter-workspace-developer?team=SFTWR
4,System Software Developer,Software and Services,San Diego,"Sep 10, 2021",https://jobs.apple.com/en-us/details/200273303/system-software-developer?team=SFTWR
5,Wireless Tools Developer,Software and Services,Santa Clara Valley (Cupertino),"Oct 4, 2021",https://jobs.apple.com/en-us/details/200292080/wireless-tools-developer?team=SFTWR
6,Cellular Protocol Developer,Software and Services,San Diego,"Sep 10, 2021",https://jobs.apple.com/en-us/details/200287293/cellular-protocol-developer?team=SFTWR
7,Systems Software Developer,Software and Services,San Diego,"Jul 6, 2021",https://jobs.apple.com/en-us/details/200260669/systems-software-developer?team=SFTWR
8,Systems Software Developer,Software and Services,San Diego,"Apr 30, 2021",https://jobs.apple.com/en-us/details/200243070/systems-software-developer?team=SFTWR
9,Wireless Software Developer,Software and Services,San Diego,"Oct 4, 2021",https://jobs.apple.com/en-us/details/200240580/wireless-software-developer?team=SFTWR
10,Wireless Software Developer,Software and Services,Santa Clara Valley (Cupertino),"Sep 2, 2021",https://jobs.apple.com/en-us/details/200274752/wireless-software-developer?team=SFTWR
11,Software Developer (C/C++),Software and Services,San Diego,"Sep 10, 2021",https://jobs.apple.com/en-us/details/200287299/software-developer-c-c?team=SFTWR
12,Frameworks/App Software Test Developer,Software and Services,Santa Clara Valley (Cupertino),"Jan 14, 2021",https://jobs.apple.com/en-us/details/200000775/frameworks-app-software-test-developer?team=SFTWR
13,Developer Analyst (Early Career),Software and Services,Austin,"May 25, 2021",https://jobs.apple.com/en-us/details/200210820/developer-analyst-early-career?team=SFTWR
14,GPU Developer Technology Engineer,Software and Services,Santa Clara Valley (Cupertino),"Mar 10, 2020",https://jobs.apple.com/en-us/details/200125587/gpu-developer-technology-engineer?team=SFTWR
15,Firmware Software Development Manager,Software and Services,Santa Clara Valley (Cupertino),"May 30, 2021",https://jobs.apple.com/en-us/details/200250952/firmware-software-development-manager?team=SFTWR
16,Software Developer in Test,Software and Services,Boulder,"Oct 22, 2021",https://jobs.apple.com/en-us/details/200222729/software-developer-in-test?team=SFTWR
17,"Software Engineer, iOS Developer",Software and Services,Austin,"Sep 9, 2021",https://jobs.apple.com/en-us/details/200284047/software-engineer-ios-developer?team=SFTWR
18,Simulation SW Development Engineer,Software and Services,Santa Clara Valley (Cupertino),"Oct 6, 2021",https://jobs.apple.com/en-us/details/200296525/simulation-sw-development-engineer?team=SFTWR
19,Metal Ecosystem Development Engineer,Software and Services,Austin,"Sep 15, 2020",https://jobs.apple.com/en-us/details/200189764/metal-ecosystem-development-engineer?team=SFTWR
20,Cellular Virtual Platform Developer,Software and Services,San Diego,"Mar 16, 2021",https://jobs.apple.com/en-us/details/200231333/cellular-virtual-platform-developer?team=SFTWR
21,Cellular Software Development Engineer,Software and Services,Santa Clara Valley (Cupertino),"Feb 17, 2021",https://jobs.apple.com/en-us/details/200223935/cellular-software-development-engineer?team=SFTWR
