,title,department,location,date_added,link
0,"Senior Software Engineer, Data Engineering, Ads Platform Engineering",Software and Services,Santa Clara Valley (Cupertino),"Jul 12, 2021",https://jobs.apple.com/en-us/details/200262230/senior-software-engineer-data-engineering-ads-platform-engineering?team=SFTWR
1,"Software Engineer, Ad Platforms Engineering",Software and Services,Austin,"Mar 30, 2021",https://jobs.apple.com/en-us/details/200206435/software-engineer-ad-platforms-engineering?team=SFTWR
2,Standards Engineer,Software and Services,Santa Clara Valley (Cupertino),"Oct 6, 2021",https://jobs.apple.com/en-us/details/200215767/standards-engineer?team=SFTWR
3,Performance Engineer,Software and Services,Santa Clara Valley (Cupertino),"Jun 6, 2019",https://jobs.apple.com/en-us/details/200000650/performance-engineer?team=SFTWR
4,Software Engineer - Audio Engineering,Software and Services,Santa Clara Valley (Cupertino),"Sep 12, 2021",https://jobs.apple.com/en-us/details/200286594/software-engineer-audio-engineering?team=SFTWR
5,"Senior Software Engineer, Engineering Solutions",Software and Services,Austin,"Mar 20, 2021",https://jobs.apple.com/en-us/details/200231591/senior-software-engineer-engineering-solutions?team=SFTWR
6,"Sr. Software Engineer,  Journey Engine",Software and Services,Austin,"Jun 21, 2021",https://jobs.apple.com/en-us/details/200250109/sr-software-engineer-journey-engine?team=SFTWR
7,"Senior Software Engineer, Engineering Solutions",Software and Services,Austin,"Jun 28, 2021",https://jobs.apple.com/en-us/details/200260209/senior-software-engineer-engineering-solutions?team=SFTWR
8,Compiler Engineer,Software and Services,Santa Clara Valley (Cupertino),"Jun 6, 2021",https://jobs.apple.com/en-us/details/200224997/compiler-engineer?team=SFTWR
9,Performance Engineer,Software and Services,Santa Clara Valley (Cupertino),"Jun 26, 2020",https://jobs.apple.com/en-us/details/200178052/performance-engineer?team=SFTWR
10,SOLR Engineer,Software and Services,Austin,"Oct 22, 2021",https://jobs.apple.com/en-us/details/200263877/solr-engineer?team=SFTWR
11,Engineering Manager,Software and Services,New York City,"Aug 7, 2021",https://jobs.apple.com/en-us/details/200273763/engineering-manager?team=SFTWR
12,Data Integrity Engineer - Analytics Engineering,Software and Services,Seattle,"May 25, 2021",https://jobs.apple.com/en-us/details/200223738/data-integrity-engineer-analytics-engineering?team=SFTWR
13,Software Data Engineer - Analytics Engineering,Software and Services,Seattle,"Oct 20, 2021",https://jobs.apple.com/en-us/details/200231319/software-data-engineer-analytics-engineering?team=SFTWR
14,Kernel Engineer,Software and Services,Santa Clara Valley (Cupertino),"Jun 16, 2021",https://jobs.apple.com/en-us/details/200257393/kernel-engineer?team=SFTWR
15,Kernel Engineer,Software and Services,Santa Clara Valley (Cupertino),"Jun 22, 2021",https://jobs.apple.com/en-us/details/200258379/kernel-engineer?team=SFTWR
